title,type,genre,year,rating,actors,overview,image_url
Joker,Movie,Drama,2005,9.0,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Game of Thrones,Series,Action,1993,7.2,"Shah Rukh Khan, Deepika Padukone",A action story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,Movie,Thriller,1998,7.6,"Shah Rukh Khan, Deepika Padukone",A thriller story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
PK,Movie,Thriller,2013,8.2,"Robert Downey Jr., Chris Evans",A thriller story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,Movie,Action,1991,6.1,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Sci-Fi,2025,6.8,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Drama,2012,9.3,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,Movie,Drama,2012,7.3,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Crime,2008,9.2,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
3 Idiots,Movie,Comedy,1993,7.5,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Avatar,Movie,Comedy,2004,8.2,"Robert Downey Jr., Chris Evans",A comedy story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Forrest Gump,Movie,Sci-Fi,1987,9.4,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Romance,1995,8.5,"Aamir Khan, Kareena Kapoor",A romance story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mirzapur,Series,Sci-Fi,2024,8.1,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,Movie,Thriller,1998,8.3,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,Movie,Romance,1999,6.8,"Aamir Khan, Kareena Kapoor",A romance story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Action,1994,6.8,"Shah Rukh Khan, Deepika Padukone",A action story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Game of Thrones,Series,Sci-Fi,2016,8.7,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Drama,2024,6.9,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,Movie,Drama,2017,8.8,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Drama,1995,8.4,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Avatar,Movie,Drama,2020,7.5,"Robert Downey Jr., Chris Evans",A drama story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Stranger Things,Series,Thriller,1999,8.9,"Aamir Khan, Kareena Kapoor",A thriller story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Avatar,Movie,Drama,1988,7.0,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Titanic,Movie,Thriller,1995,8.5,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
Mirzapur,Series,Romance,2023,6.7,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Breaking Bad,Series,Romance,2017,9.4,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Avatar,Movie,Romance,1993,8.6,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Game of Thrones,Series,Fantasy,1981,7.6,"Leonardo DiCaprio, Tom Hardy",A fantasy story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mirzapur,Series,Thriller,1993,8.6,"Shah Rukh Khan, Deepika Padukone",A thriller story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,Movie,Thriller,2006,7.9,"Aamir Khan, Kareena Kapoor",A thriller story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
The Dark Knight,Movie,Fantasy,2004,6.4,"Robert Downey Jr., Chris Evans",A fantasy story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Game of Thrones,Series,Comedy,2006,7.5,"Robert Downey Jr., Chris Evans",A comedy story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,Movie,Fantasy,2008,6.0,"Robert Downey Jr., Chris Evans",A fantasy story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Taare Zameen Par,Movie,Drama,1987,9.1,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mirzapur,Series,Action,1987,8.2,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avatar,Movie,Romance,1987,6.5,"Aamir Khan, Kareena Kapoor",A romance story featuring Aamir Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Breaking Bad,Series,Romance,2003,6.6,"Leonardo DiCaprio, Tom Hardy",A romance story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
3 Idiots,Movie,Sci-Fi,2020,7.2,"Aamir Khan, Kareena Kapoor",A sci-fi story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
3 Idiots,Movie,Thriller,1989,9.5,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
PK,Movie,Comedy,2012,7.2,"Leonardo DiCaprio, Tom Hardy",A comedy story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Drama,2021,8.6,"Robert Downey Jr., Chris Evans",A drama story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Action,1995,8.7,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,Movie,Romance,2017,8.3,"Leonardo DiCaprio, Tom Hardy",A romance story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Game of Thrones,Series,Comedy,1985,7.8,"Aamir Khan, Kareena Kapoor",A comedy story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,Movie,Romance,2004,7.3,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Taare Zameen Par,Movie,Thriller,2023,7.5,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,Movie,Thriller,2016,7.9,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,Movie,Sci-Fi,2019,6.4,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,Movie,Crime,1987,6.6,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,Movie,Fantasy,2009,7.3,"Robert Downey Jr., Chris Evans",A fantasy story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,Movie,Drama,2022,9.0,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Titanic,Movie,Fantasy,2002,8.6,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
The Dark Knight,Movie,Drama,1981,8.7,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Stranger Things,Series,Fantasy,1988,8.5,"Robert Downey Jr., Chris Evans",A fantasy story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
PK,Movie,Crime,2014,9.3,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Action,1985,8.7,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Action,2009,9.4,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,Movie,Action,2000,9.0,"Shah Rukh Khan, Deepika Padukone",A action story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sacred Games,Series,Drama,2021,8.1,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Avatar,Movie,Crime,2012,9.3,"Leonardo DiCaprio, Tom Hardy",A crime story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Interstellar,Movie,Action,1990,6.0,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
The Matrix,Movie,Drama,1984,6.0,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Crime,2010,6.0,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Game of Thrones,Series,Comedy,2004,7.9,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,Movie,Action,2020,9.5,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,Movie,Drama,1986,8.0,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
The Dark Knight,Movie,Thriller,1994,8.4,"Robert Downey Jr., Chris Evans",A thriller story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Game of Thrones,Series,Crime,2003,7.2,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Thriller,2016,9.0,"Shah Rukh Khan, Deepika Padukone",A thriller story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,Movie,Sci-Fi,2012,8.0,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,Movie,Fantasy,2024,9.3,"Leonardo DiCaprio, Tom Hardy",A fantasy story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Joker,Movie,Drama,2017,8.0,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,Movie,Sci-Fi,2022,6.8,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Romance,1984,6.7,"Aamir Khan, Kareena Kapoor",A romance story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Fantasy,2016,8.7,"Shah Rukh Khan, Deepika Padukone",A fantasy story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,Movie,Action,2000,6.1,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Romance,1981,7.4,"Robert Downey Jr., Chris Evans",A romance story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Avatar,Movie,Drama,2008,8.6,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Stranger Things,Series,Crime,1992,8.7,"Leonardo DiCaprio, Tom Hardy",A crime story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Game of Thrones,Series,Crime,1989,6.4,"Shah Rukh Khan, Deepika Padukone",A crime story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Game of Thrones,Series,Action,1997,7.7,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,Movie,Sci-Fi,1999,6.8,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,Movie,Action,1985,6.1,"Shah Rukh Khan, Deepika Padukone",A action story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,Movie,Romance,2004,8.4,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Lagaan,Movie,Drama,2007,6.1,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,Movie,Crime,2012,6.5,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Fantasy,1982,7.4,"Leonardo DiCaprio, Tom Hardy",A fantasy story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
The Dark Knight,Movie,Crime,1998,7.1,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Gladiator,Movie,Fantasy,1983,7.5,"Shah Rukh Khan, Deepika Padukone",A fantasy story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Action,1988,9.3,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,Movie,Romance,2000,7.4,"Leonardo DiCaprio, Tom Hardy",A romance story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Dangal,Movie,Action,2005,6.1,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Breaking Bad,Series,Drama,2009,7.1,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Interstellar,Movie,Sci-Fi,1988,8.0,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Gladiator,Movie,Thriller,2006,6.3,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mirzapur,Series,Drama,2025,6.7,"Robert Downey Jr., Chris Evans",A drama story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Fantasy,2004,7.7,"Shah Rukh Khan, Deepika Padukone",A fantasy story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Sci-Fi,2014,8.8,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Game of Thrones,Series,Fantasy,1996,6.6,"Nawazuddin Siddiqui, Saif Ali Khan",A fantasy story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,Movie,Crime,2025,6.9,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Dangal,Movie,Romance,1987,6.4,"Shah Rukh Khan, Deepika Padukone",A romance story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Avatar,Movie,Action,2024,7.2,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Breaking Bad,Series,Comedy,1994,6.6,"Shah Rukh Khan, Deepika Padukone",A comedy story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Gladiator,Movie,Sci-Fi,2013,8.5,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,Movie,Action,1980,6.5,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Titanic,Movie,Romance,1988,7.5,"Shah Rukh Khan, Deepika Padukone",A romance story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
The Godfather,Movie,Drama,1987,9.0,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,Movie,Comedy,2002,9.0,"Robert Downey Jr., Chris Evans",A comedy story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
The Godfather,Movie,Thriller,2014,7.2,"Aamir Khan, Kareena Kapoor",A thriller story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Thriller,2007,8.9,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Mirzapur,Series,Drama,2008,8.2,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Action,2008,6.5,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sacred Games,Series,Fantasy,2016,8.4,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
The Matrix,Movie,Drama,1998,7.6,"Robert Downey Jr., Chris Evans",A drama story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,Movie,Crime,2019,9.4,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Money Heist,Series,Thriller,2014,6.7,"Shah Rukh Khan, Deepika Padukone",A thriller story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Fantasy,1997,9.3,"Leonardo DiCaprio, Tom Hardy",A fantasy story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Comedy,2006,6.4,"Robert Downey Jr., Chris Evans",A comedy story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sacred Games,Series,Fantasy,2020,6.6,"Leonardo DiCaprio, Tom Hardy",A fantasy story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Dangal,Movie,Romance,2015,7.8,"Robert Downey Jr., Chris Evans",A romance story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Forrest Gump,Movie,Crime,1997,7.3,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Thriller,1996,8.4,"Robert Downey Jr., Chris Evans",A thriller story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Breaking Bad,Series,Romance,2002,8.2,"Aamir Khan, Kareena Kapoor",A romance story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Gladiator,Movie,Drama,1982,9.1,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,Movie,Sci-Fi,1997,8.0,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,Movie,Thriller,1989,6.1,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,Movie,Sci-Fi,2008,9.3,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Drama,1980,7.0,"Robert Downey Jr., Chris Evans",A drama story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Action,1980,8.8,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Gully Boy,Movie,Action,1993,9.4,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Crime,1993,6.0,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,Movie,Romance,2000,9.4,"Shah Rukh Khan, Deepika Padukone",A romance story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
The Matrix,Movie,Sci-Fi,2023,8.9,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,Movie,Sci-Fi,2024,9.2,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,Movie,Romance,1995,7.8,"Leonardo DiCaprio, Tom Hardy",A romance story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,Movie,Drama,2001,8.3,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,Movie,Crime,1984,8.6,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,Movie,Thriller,1985,8.5,"Shah Rukh Khan, Deepika Padukone",A thriller story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Fantasy,2002,9.0,"Robert Downey Jr., Chris Evans",A fantasy story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Inception,Movie,Comedy,2013,6.0,"Leonardo DiCaprio, Tom Hardy",A comedy story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Breaking Bad,Series,Action,2019,7.8,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Money Heist,Series,Drama,2025,8.4,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,Movie,Thriller,2018,7.7,"Aamir Khan, Kareena Kapoor",A thriller story featuring Aamir Khan.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Gully Boy,Movie,Action,2002,8.7,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,Movie,Action,1995,8.7,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Forrest Gump,Movie,Crime,2008,8.1,"Shah Rukh Khan, Deepika Padukone",A crime story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,Movie,Fantasy,2012,8.7,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Game of Thrones,Series,Fantasy,1991,8.6,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
